School,Leadership,Teachers,Other Staff,American Indian/Alaskan Native Count,American Indian/Alaskan Native Average Years in Title,American Indian/Alaskan Native Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American Count,Black/African American Average Years in Title,Black/African American Average Years at School,Hawaiian/Pacific Islander Count,Hawaiian/Pacific Islander Average Years in Title,Hawaiian/Pacific Islander Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other Count,Unknown/Other Average Years in Title,Unknown/Other Average Years at School,American Indian/Alaskan Native Count 1,American Indian/Alaskan Native Average Years in Title 1,American Indian/Alaskan Native Average Years at School 1,Asian Count 1,Asian Average Years in Title 1,Asian Average Years at School 1,Black/African American  Count,Black/African American  Average Years in Title,Black/African American  Average Years at School,Hawaiian/Pacific Islander Count 1,Hawaiian/Pacific Islander Average Years in Title 1,Hawaiian/Pacific Islander Average Years at School 1,Hispanic Count 1,Hispanic Average Years in Title 1,Hispanic Average Years at School 1,White Count 1,Wite Average Years in Title,White Average Years at School 1,Multiple Count 1,Multiple Average Years in Title 1,Multiple Average Years at School 1,Unknown/Other Count 1,Unknown/Other Average Years in Title 1,Unknown/Other Average Years at School 1,American Indian/Alaskan Native Count 2,American Indian/Alaskan Native Average Years in Title 2,American Indian/Alaskan Native Average Years at School 2,Asian Count 2,Asian Average Years in Title 2,Asian Average Years at School 2,Black/African American Count 1,Black/African American Average Years in Title 1,Black/African American Average Years at School 1,Hawaiian/Pacific Islander Count 2,Hawaiian/Pacific Islander Average Years in Title 2,Hawaiian/Pacific Islander Average Years at School 2,Hispanic Count 2,Hispanic Average Years in Title 2,Hispanic Average Years at School 2,White Count 2,White Average Years in Title 1,White Average Years at School 2,Multiple Count 2,Multiple Average Years in Title 2,Multiple Average Years at School 2,Unknown/Other Count 2,Unknown/Other Average Years in Title 2,Unknown/Other Average Years at School 2
11X169,2,27,26,*,,,*,,,9,8.4,2.3,*,,,*,,,15,8.2,4.5,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,12,9.6,6.3,*,,,10,6.8,4.4,*,,,*,,,*,,
11X175,2,22,7,*,,,*,,,*,,,*,,,*,,,18,8.8,6.1,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,
11X178,2,35,22,*,,,*,,,*,,,*,,,*,,,28,12.3,10.5,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,7,16.2,9.7,7,12,8.9,*,,,*,,
11X180,5,81,33,*,,,*,,,32,10.9,5.3,*,,,14,8.9,7.8,29,9.6,8.1,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,10,11.6,9.9,*,,,10,14.3,11.9,6,12.4,13,*,,,*,,
11X181,6,70,24,*,,,*,,,19,13.5,7.4,*,,,5,7.7,6.6,43,8.8,6.1,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,6,10.4,1.9,*,,,10,5.3,3,5,11.7,7.8,*,,,*,,
11X189,1,30,24,*,,,*,,,8,9.4,6.8,*,,,9,11.7,8.4,10,9.8,5.7,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,7,4.1,3.2,*,,,13,9.2,8.2,*,,,*,,,*,,
11X194,4,92,32,*,,,6,13.4,10.9,8,15.1,9.3,*,,,13,12.1,6.8,62,11.9,9.1,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,8,9.4,6.8,*,,,20,10.6,6.4,*,,,*,,,*,,
11X287,3,48,13,*,,,*,,,18,10.4,1.7,*,,,6,3.1,1.5,19,8.1,2.7,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,7,13.1,6.4,*,,,*,,,*,,,*,,,*,,
11X326,3,28,5,*,,,*,,,10,12.6,7.3,*,,,6,9.2,5.8,10,12,6,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,
11X355,2,28,7,*,,,*,,,18,9.8,2.7,*,,,*,,,6,7.7,3.3,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,
11X357,2,33,7,*,,,*,,,*,,,*,,,10,9.6,3.3,17,8.4,2.8,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,6,8.6,4.8,*,,,*,,,*,,
11X370,3,38,12,*,,,*,,,12,10.8,2.5,*,,,*,,,21,10.2,3.3,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,5,8.9,5.2,*,,,*,,,*,,,*,,,*,,
11X462,1,20,12,*,,,*,,,10,13.9,6.8,*,,,6,5.8,5.3,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,6,8.3,4.6,*,,,*,,,*,,,*,,,*,,
11X468,2,30,6,*,,,*,,,9,5.4,3.8,*,,,9,7.2,3.6,8,6.7,3.5,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,5,12.7,6.8,*,,,*,,,*,,
11X481,2,20,1,*,,,*,,,*,,,*,,,10,6.5,2.2,5,1.1,1.1,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,
11X483,1,15,6,*,,,*,,,*,,,*,,,*,,,10,6.6,2.3,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,
11X498,4,44,20,*,,,*,,,*,,,*,,,9,10.3,4.8,28,10.4,5.7,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,10,6.5,3.7,7,4.4,4.4,*,,,*,,
11X529,3,42,10,*,,,*,,,10,9.1,4.1,*,,,15,6.1,2.8,15,6.6,4.6,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,
11X532,2,23,9,*,,,*,,,7,6.1,3,*,,,*,,,12,5.5,3.7,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,
11X556,2,41,9,*,,,*,,,7,8.2,4.6,*,,,6,6.8,3.4,22,4.6,3.5,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,
11X566,3,37,10,*,,,*,,,17,9.1,3,*,,,*,,,16,9.8,4.3,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,6,6,3.9,*,,,*,,,*,,,*,,,*,,
11X567,2,36,16,*,,,*,,,*,,,*,,,8,7.9,3.2,20,5.4,2.4,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,8,7.1,4.6,*,,,*,,,*,,
12X006,3,44,21,*,,,*,,,10,12.1,8.1,*,,,11,16.3,16,21,10.9,7.1,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,6,8.4,8.4,*,,,12,12.7,10.2,*,,,*,,,*,,
12X044,2,26,14,*,,,*,,,5,12.1,12.1,*,,,*,,,16,2.8,1.6,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,5,12.2,7,*,,,8,9.5,3.4,*,,,*,,,*,,
12X047,5,79,18,*,,,*,,,13,17.2,16.8,*,,,15,11.6,5.3,50,9,7.9,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,10,15.8,8.5,*,,,*,,,*,,
12X057,2,45,30,*,,,*,,,11,16.6,13.3,*,,,9,16.2,6.7,23,7.8,7,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,6,12.6,2.2,*,,,21,7.1,4.6,*,,,*,,,*,,
12X061,2,24,10,*,,,*,,,5,11.8,7.5,*,,,7,6.1,5.8,12,6.9,4.7,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,6,12.9,10.9,*,,,*,,,*,,,*,,,*,,
12X066,4,51,20,*,,,*,,,7,12.8,8.3,*,,,16,12.8,10.9,25,9,7.9,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,12,16.4,13.2,*,,,*,,,*,,
12X067,4,38,13,*,,,*,,,*,,,*,,,16,5.5,4.7,13,3.3,3.1,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,7,12.6,12.8,*,,,*,,,*,,
12X098,2,25,11,*,,,*,,,6,16.7,12.7,*,,,10,3.3,3.7,7,10.2,7.9,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,6,14.4,11.8,*,,,*,,,*,,
12X129,4,38,15,*,,,5,9,7.2,15,11.9,10.2,*,,,9,10.4,5.9,8,11.3,8,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,9,8.6,9.7,*,,,*,,,*,,
12X134,3,47,19,*,,,*,,,20,13.5,9.3,*,,,18,16.5,11.4,6,11.9,4.5,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,7,12.4,9,*,,,9,16.9,15.8,*,,,*,,,*,,
12X150,3,59,17,*,,,*,,,15,19.1,16.2,*,,,29,13.2,10.7,14,11.5,7.8,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,15,18.4,8.7,*,,,*,,,*,,
12X190,2,23,7,*,,,5,8.2,4.8,8,14.7,3.7,*,,,*,,,8,10,6,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,6,10.5,5.9,*,,,*,,,*,,
12X195,3,71,22,*,,,*,,,7,12.3,3.9,*,,,15,9.1,5.1,43,4.9,3.4,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,13,12.8,7.9,5,4.1,3.7,*,,,*,,
12X196,2,69,19,*,,,*,,,16,11.5,5.9,*,,,19,6.8,5,26,11.2,6.9,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,13,10,5.4,*,,,*,,,*,,
12X211,2,45,14,*,,,*,,,7,7.8,3.7,*,,,19,13.4,10.3,17,3.5,2.9,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,9,17.6,14.9,*,,,*,,,*,,
12X212,2,16,8,*,,,*,,,*,,,*,,,5,10.9,8.6,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,
12X214,5,79,20,*,,,6,6,4.7,28,10.1,6.6,*,,,24,8.6,5.6,14,9.9,6.4,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,8,14.6,13.4,*,,,8,13.9,12.9,*,,,*,,,*,,
12X217,2,33,11,*,,,*,,,10,6.4,1.7,*,,,11,3.4,1.6,10,5.1,2.6,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,5,8.8,6.5,*,,,*,,,*,,
12X242,3,55,11,*,,,*,,,11,4.4,3.2,*,,,12,8.9,6.1,27,7.2,4.9,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,8,6.8,4.8,*,,,*,,,*,,
12X273,2,18,10,*,,,*,,,7,3.4,0.3,*,,,*,,,6,4.2,1.8,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,5,5.4,4.9,*,,,*,,,*,,
12X286,2,25,8,*,,,*,,,*,,,*,,,7,6.4,3.4,14,6.5,2.9,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,7,9.4,6.3,*,,,*,,,*,,
12X300,3,50,27,*,,,*,,,21,17.6,10.3,*,,,8,13,10.8,21,12.1,7.3,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,10,7.2,4.6,*,,,11,11.4,7.6,*,,,*,,,*,,
12X314,2,28,16,*,,,*,,,9,7.9,3.6,*,,,*,,,14,7,3.1,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,11,10,4.3,*,,,*,,,*,,
12X316,2,27,5,*,,,*,,,*,,,*,,,*,,,15,5.9,5.5,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,
12X318,2,24,8,*,,,*,,,7,8.2,4.5,*,,,8,4.1,3.9,6,3.1,2,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,5,15.9,9.1,*,,,*,,,*,,
12X341,2,35,12,*,,,*,,,15,4.2,0.7,*,,,12,8.5,1.3,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,12,8.6,2,*,,,*,,,*,,
12X383,3,29,8,*,,,*,,,8,5.1,3.4,*,,,6,8.1,1.5,13,7.8,3.1,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,7,9.8,5.2,*,,,*,,,*,,
12X458,1,26,11,*,,,*,,,*,,,*,,,16,6.2,2.7,7,5.4,1.1,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,*,,,8,9.7,3.2,*,,,*,,,*,,
